회사명,감리대상연도,조치일,상장여부,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
(주)웅진,2013~2017,2018-09-19,유가증권시장,0,0,1,1,1,1,1,0,0,0,0,0
(주)위닉스,2016~2017.9.30.,2019-07-17,코스닥시장,0,0,1,1,0,0,0,0,0,0,0,0
(주)유아이헬리콥터,2015,2018-03-28,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)이노와이즈,"2016, 2017",2020-05-06,코스닥시장,0,0,1,1,0,0,0,0,0,0,0,0
(주)이앤코리아,2017,2020-09-16,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)일호주택,2016~2017,2019-12-09,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)자형매니지먼트,2015~2016,2019-01-09,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)정임건설,2013,2019-08-21,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)제이에스피브이,2014~2017,2018-12-12,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)참저축은행,2014.7.1.~2015.6.30.,2019-02-13,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)청호컴넷,2015년~2016년 3분기,2017-11-29,유가증권시장,0,0,0,1,1,0,0,0,0,0,0,0
(주)카스,2010~2013,2019-03-13,코스닥시장,0,0,0,0,0,0,1,1,1,1,0,0
(주)카테아,2015 ~ 2017.6.30.,2018-03-28,코스닥시장,0,0,1,1,1,0,0,0,0,0,0,0
(주)케이엔씨글로벌,2013,2016-11-09,코스닥시장,0,0,0,0,0,0,1,0,0,0,0,0
(주)케이지모빌리언스,2011~2015,2017-12-13,코스닥시장,0,0,0,0,1,1,1,1,1,0,0,0
(주)케이지이니시스,2014~2015,2017-12-13,코스닥시장,0,0,0,0,1,1,0,0,0,0,0,0
(주)케이티앤지,2011~2018,2020-07-15,유가증권시장,0,1,1,1,1,1,1,1,1,0,0,0
(주)케이티이엔지코어,2008~2012,2018-04-25,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)코리드,"2010~2012, 2014~2016.6.30",2016-11-09,코스닥시장,0,0,0,1,1,1,0,1,1,1,0,0
(주)트레이스,2016,2020-01-22,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)티피씨메카트로닉스,2014~2016.9.30.,2019-10-30,코스닥시장,0,0,0,1,1,1,0,0,0,0,0,0
(주)파이오링크,2010~2014,2019-02-27,코스닥시장,0,0,0,0,0,1,1,1,1,1,0,0
(주)페트로비씨,2013,2016-09-07,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)포스코건설,2015~2016.9.30.,2020-02-26,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)한국비엔씨,2016,2018-05-09,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)한일진공,2016~2018.6.30.,2020-01-22,코스닥시장,0,1,1,1,0,0,0,0,0,0,0,0
(주)한진중공업,2014~2015,2018-04-25,유가증권시장,0,0,0,0,1,1,0,0,0,0,0,0
(주)한진피앤씨,2012~2013,2017-06-21,코스닥시장,0,0,0,0,0,0,1,1,0,0,0,0
(주)한화갤러리아,2004~2006,2016-12-28,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)한화건설,2005~2006,2016-12-28,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)효성,2013년~2016.3분기,2017-07-19,유가증권시장,0,0,0,1,1,1,1,0,0,0,0,0
(주)휴벡셀,2016~2017,2019-02-27,기타,0,0,0,0,0,0,0,0,0,0,0,0
KD건설(주),2009~2010,2016-12-21,코스닥시장,0,0,0,0,0,0,0,0,0,1,1,0
KG케미칼(주),2015,2017-12-13,유가증권시장,0,0,0,0,1,0,0,0,0,0,0,0
SBC벤드(주),2009~2011,2016-05-18,기타,0,0,0,0,0,0,0,0,0,0,0,0
STX조선해양(주),2008~2012년,2016-02-24,기타,0,0,0,0,0,0,0,0,0,0,0,0
